Station,Capacity,Zip Codes
CRC,10.0,30318.0
TECH PARKWAY,10.0,30318.0
HOME PARK,10.0,30318.0
WEST CAMPUS,6.0,30318.0
BOBBY DODD STADIUM,10.0,30313.0
CLOUGH,10.0,30318.0
TECH SQUARE,15.0,30308.0
STATE & 11TH,10.0,30318.0
TRANSIT  HUB,10.0,30313.0
BUCKHEAD - PIEDMONT CENTER,10.0,30305.0
BUCKHEAD - TOWER PLACE,10.0,30326.0
MARTA - LENOX SQUARE,9.0,30326.0
VIRGINIA - HIGHLAND,10.0,30306.0
ATKINS PARK,10.0,30306.0
PONCE - HIGHLAND,10.0,30306.0
LITTLE FIVE POINTS,10.0,30307.0
MARTA - INMAN PARK,12.0,30307.0
KING OF POPS,10.0,30307.0
INMAN PARK,10.0,30307.0
INMAN PARK VILLAGE,10.0,30307.0
HIGHLAND - FREEDOM TRAIL,10.0,30312.0
IRWIN & EASTSIDE BELTLINE,10.0,30312.0
STUDIOPLEX,10.0,30312.0
EDGEWOOD & EASTSIDE BELTLINE,10.0,30307.0
RANDOLPH & EDGEWOOD,10.0,30312.0
PARK & MEMORIAL,10.0,30312.0
CHEROKEE & WOODWARD,10.0,30312.0
GRANT PARK,10.0,30315.0
HISTORIC FOURTH WARD PARK,10.0,30308.0
GREENWOOD AVE BELTLINE,10.0,30306.0
PIEDMONT PARK & EASTSIDE BELTLINE,10.0,30306.0
PIEDMONT PARK EAST,10.0,30306.0
PIEDMONT PARK WEST,10.0,30309.0
OUTWRIGHT STATION,14.0,
5TH & ARGONNE,10.0,30308.0
CENTRAL PARK,10.0,30332.0
JACKSON STREET BRIDGE,10.0,30312.0
JACKSON & CHAMBERLAIN,10.0,30312.0
MARTA - KING MEMORIAL,10.0,30312.0
JUNIPER & 14TH ST,10.0,30309.0
MARTA - ARTS CENTER,10.0,30309.0
FEDERAL RESERVE BANK OF ATLANTA,10.0,30309.0
MARTA MIDTOWN (NORTH),12.0,30309.0
MARTA NORTH AVE,10.0,30375.0
MARTA - CIVIC CENTER,10.0,30308.0
HARDY IVY PARK,10.0,30308.0
PEACHTREE CENTER MALL,7.0,30303.0
WALTON SPRING PARK,10.0,30303.0
MARTA - PEACHTREE CENTER,10.0,30303.0
PIEDMONT AND AUBURN,10.0,30303.0
SWEET AUBURN MARKET,7.0,30303.0
WOODRUFF PARK,10.0,30303.0
GSU ARTS & HUMANITIES BLDG,10.0,30303.0
GSU MARTA,10.0,30303.0
FAIRLIE - POPLAR DISTRICT,10.0,30303.0
MARTA - FIVE POINTS,10.0,30303.0
CITY HALL,8.0,30303.0
BROAD & MITCHELL,5.0,30303.0
MARTA - GARNETT,10.0,30303.0
CASTLEBERRY HILL,10.0,30313.0
NELSON ST BRIDGE,10.0,30313.0
CENTENNIAL OLYMPIC PARK,13.0,30303.0
THE COCA-COLA COMPANY,9.0,30313.0
14TH & HOWELL MILL,10.0,30318.0
ATLANTIC STATION,10.0,30363.0
WESTSIDE VILLAGE,10.0,30314.0
AUC - WOODRUFF LIBRARY,10.0,30314.0
SPELMAN COLLEGE AT WESTVIEW,10.0,30310.0
WEST END STATION,10.0,30310.0
MARTA - WEST END,10.0,30310.0
GORDON - WHITE PARK,,30310.0
